Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8086332k(4446812k free), swap 16212796k(12112892k free)
CommandLine flags: -XX:InitialHeapSize=129381312 -XX:MaxHeapSize=4284481536 -XX:MaxNewSize=348966912 -XX:MaxTenuringThreshold=6 -XX:OldPLABSize=16 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-10-27T01:40:52.244+0800: 0.840: [GC (Allocation Failure) 2020-10-27T01:40:52.244+0800: 0.841: [ParNew: 33856K->3488K(38080K), 0.0042297 secs] 33856K->3488K(122752K), 0.0045195 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:47.391+0800: 55.978: [GC (Allocation Failure) 2020-10-27T01:41:47.391+0800: 55.978: [ParNew: 33889K->33K(38080K), 0.0022743 secs] 58354K->24499K(122752K), 0.0024033 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:47.943+0800: 56.530: [GC (Allocation Failure) 2020-10-27T01:41:47.943+0800: 56.530: [ParNew: 33889K->32K(38080K), 0.0020641 secs] 58355K->24498K(122752K), 0.0021674 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:48.440+0800: 57.027: [GC (Allocation Failure) 2020-10-27T01:41:48.440+0800: 57.027: [ParNew: 33888K->38K(38080K), 0.0018658 secs] 58354K->24503K(122752K), 0.0019484 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:48.994+0800: 57.581: [GC (Allocation Failure) 2020-10-27T01:41:48.994+0800: 57.581: [ParNew: 33894K->37K(38080K), 0.0019090 secs] 58359K->24503K(122752K), 0.0019948 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:49.484+0800: 58.071: [GC (Allocation Failure) 2020-10-27T01:41:49.484+0800: 58.071: [ParNew: 33893K->45K(38080K), 0.0019145 secs] 58359K->24511K(122752K), 0.0020144 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:50.068+0800: 58.654: [GC (Allocation Failure) 2020-10-27T01:41:50.068+0800: 58.654: [ParNew: 33901K->32K(38080K), 0.0019850 secs] 58367K->24499K(122752K), 0.0020964 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:50.580+0800: 59.167: [GC (Allocation Failure) 2020-10-27T01:41:50.580+0800: 59.167: [ParNew: 33888K->27K(38080K), 0.0031026 secs] 58355K->24494K(122752K), 0.0032094 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:51.135+0800: 59.730: [GC (Allocation Failure) 2020-10-27T01:41:51.135+0800: 59.730: [ParNew: 33880K->50K(38080K), 0.0018783 secs] 58346K->24517K(122752K), 0.0019834 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:51.651+0800: 60.245: [GC (Allocation Failure) 2020-10-27T01:41:51.651+0800: 60.245: [ParNew: 33906K->33K(38080K), 0.0019833 secs] 58373K->24500K(122752K), 0.0021038 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:52.182+0800: 60.775: [GC (Allocation Failure) 2020-10-27T01:41:52.182+0800: 60.775: [ParNew: 33889K->30K(38080K), 0.0019009 secs] 58356K->24498K(122752K), 0.0019994 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:52.697+0800: 61.297: [GC (Allocation Failure) 2020-10-27T01:41:52.697+0800: 61.297: [ParNew: 33886K->37K(38080K), 0.0022108 secs] 58354K->24504K(122752K), 0.0023285 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2020-10-27T01:41:53.244+0800: 61.831: [GC (Allocation Failure) 2020-10-27T01:41:53.244+0800: 61.831: [ParNew: 33893K->40K(38080K), 0.0018916 secs] 58360K->24507K(122752K), 0.0019748 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:53.735+0800: 62.322: [GC (Allocation Failure) 2020-10-27T01:41:53.735+0800: 62.322: [ParNew: 33896K->40K(38080K), 0.0019665 secs] 58363K->24508K(122752K), 0.0020748 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:54.259+0800: 62.856: [GC (Allocation Failure) 2020-10-27T01:41:54.259+0800: 62.856: [ParNew: 33896K->36K(38080K), 0.0018792 secs] 58364K->24503K(122752K), 0.0019636 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:54.744+0800: 63.344: [GC (Allocation Failure) 2020-10-27T01:41:54.744+0800: 63.344: [ParNew: 33892K->33K(38080K), 0.0020389 secs] 58359K->24501K(122752K), 0.0021564 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2020-10-27T01:41:55.258+0800: 63.845: [GC (Allocation Failure) 2020-10-27T01:41:55.258+0800: 63.846: [ParNew: 33889K->32K(38080K), 0.0019739 secs] 58357K->24500K(122752K), 0.0020804 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:55.811+0800: 64.400: [GC (Allocation Failure) 2020-10-27T01:41:55.811+0800: 64.401: [ParNew: 33888K->38K(38080K), 0.0019608 secs] 58356K->24505K(122752K), 0.0020673 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:56.334+0800: 64.920: [GC (Allocation Failure) 2020-10-27T01:41:56.334+0800: 64.920: [ParNew: 33894K->29K(38080K), 0.0018939 secs] 58361K->24497K(122752K), 0.0019861 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:56.839+0800: 65.425: [GC (Allocation Failure) 2020-10-27T01:41:56.839+0800: 65.425: [ParNew: 33880K->34K(38080K), 0.0020048 secs] 58348K->24502K(122752K), 0.0021039 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:57.348+0800: 65.935: [GC (Allocation Failure) 2020-10-27T01:41:57.348+0800: 65.935: [ParNew: 33890K->44K(38080K), 0.0019459 secs] 58358K->24512K(122752K), 0.0020459 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:57.884+0800: 66.471: [GC (Allocation Failure) 2020-10-27T01:41:57.884+0800: 66.471: [ParNew: 33898K->31K(38080K), 0.0020201 secs] 58366K->24500K(122752K), 0.0021188 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:58.375+0800: 66.961: [GC (Allocation Failure) 2020-10-27T01:41:58.375+0800: 66.961: [ParNew: 33887K->31K(38080K), 0.0020286 secs] 58356K->24500K(122752K), 0.0021309 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:58.935+0800: 67.522: [GC (Allocation Failure) 2020-10-27T01:41:58.935+0800: 67.522: [ParNew: 33887K->52K(38080K), 0.0019382 secs] 58356K->24521K(122752K), 0.0020418 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:59.414+0800: 68.005: [GC (Allocation Failure) 2020-10-27T01:41:59.414+0800: 68.006: [ParNew: 33908K->44K(38080K), 0.0019458 secs] 58377K->24514K(122752K), 0.0020519 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:41:59.930+0800: 68.526: [GC (Allocation Failure) 2020-10-27T01:41:59.930+0800: 68.526: [ParNew: 33900K->36K(38080K), 0.0020197 secs] 58370K->24506K(122752K), 0.0021214 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:42:00.449+0800: 69.036: [GC (Allocation Failure) 2020-10-27T01:42:00.449+0800: 69.036: [ParNew: 33892K->30K(38080K), 0.0019780 secs] 58362K->24500K(122752K), 0.0020909 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:42:01.000+0800: 69.592: [GC (Allocation Failure) 2020-10-27T01:42:01.000+0800: 69.592: [ParNew: 33886K->38K(38080K), 0.0019111 secs] 58356K->24508K(122752K), 0.0020177 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:42:01.484+0800: 70.076: [GC (Allocation Failure) 2020-10-27T01:42:01.484+0800: 70.076: [ParNew: 33894K->26K(38080K), 0.0020000 secs] 58364K->24496K(122752K), 0.0021090 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:42:02.055+0800: 70.642: [GC (Allocation Failure) 2020-10-27T01:42:02.055+0800: 70.642: [ParNew: 33882K->29K(38080K), 0.0019802 secs] 58352K->24499K(122752K), 0.0020780 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:42:02.544+0800: 71.131: [GC (Allocation Failure) 2020-10-27T01:42:02.544+0800: 71.131: [ParNew: 33885K->37K(38080K), 0.0019879 secs] 58355K->24507K(122752K), 0.0020948 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:42:03.070+0800: 71.672: [GC (Allocation Failure) 2020-10-27T01:42:03.070+0800: 71.672: [ParNew: 33893K->33K(38080K), 0.0020632 secs] 58363K->24504K(122752K), 0.0021741 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-27T01:42:03.555+0800: 72.145: [GC (Allocation Failure) 2020-10-27T01:42:03.555+0800: 72.145: [ParNew: 33889K->39K(38080K), 0.0018685 secs] 58360K->24510K(122752K), 0.0019706 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:42:04.086+0800: 72.678: [GC (Allocation Failure) 2020-10-27T01:42:04.086+0800: 72.678: [ParNew: 33895K->38K(38080K), 0.0022458 secs] 58366K->24509K(122752K), 0.0024219 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
Heap
 par new generation   total 38080K, used 12582K [0x00000006c0a00000, 0x00000006c3350000, 0x00000006d56c0000)
  eden space 33856K,  37% used [0x00000006c0a00000, 0x00000006c1640310, 0x00000006c2b10000)
  from space 4224K,   0% used [0x00000006c2b10000, 0x00000006c2b198e8, 0x00000006c2f30000)
  to   space 4224K,   0% used [0x00000006c2f30000, 0x00000006c2f30000, 0x00000006c3350000)
 concurrent mark-sweep generation total 84672K, used 24471K [0x00000006d56c0000, 0x00000006da970000, 0x00000007c0000000)
 Metaspace       used 36420K, capacity 38192K, committed 38476K, reserved 1083392K
  class space    used 4579K, capacity 4897K, committed 4940K, reserved 1048576K
